Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,Exact_SDP_Original,Exact_Time_sec_Original,Exact_Peak_Memory_MB_Python_Original,Exact_Peak_Memory_MB_RSS_Original,Exact_SDP_Original_Status,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.1,0.5,X1,1,0.5122786507885438,0.06368648199998006,0.49347782135009766,0.10546875,0.512278650788544,0.07106507600002487,0.6990470886230469,0.00390625,OK,0.521,0.0001690000000000003,1.2640239520000023,0.1886911392211914,0.0,0.008721349211456175,0.4975,1.2250000000000022e-05,5.349865990999973,0.24396896362304688,0.0,0.014778650788543846
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.1,0.6,X1,1,0.6494996779331477,0.06225563399999601,0.5022821426391602,0.0234375,0.6494996779331477,0.07604800500001829,0.8142900466918945,0.09375,OK,0.6275,0.00030625000000000053,1.2050915999999745,0.19380664825439453,0.0,0.02199967793314772,0.649,0.0004000000000000007,5.053272034000003,0.23625564575195312,0.0,0.0004996779331476464
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.1,0.7,X1,1,0.6562205970418495,0.06296606999995902,0.49951648712158203,0.0,0.6562205970418493,0.07423737199997049,0.8082351684570312,0.0,OK,0.638,0.00010000000000000018,1.380172138000006,0.19251632690429688,0.0,0.01822059704184953,0.659,9.000000000000015e-06,5.759450089000012,0.24884510040283203,0.0,0.0027794029581504898
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.1,0.8,X1,1,0.7597003920029718,0.06225395699999581,0.4913921356201172,0.0,0.7597003920029713,0.0729263129999822,0.8128042221069336,0.0,OK,0.748,0.00036100000000000064,1.3694118814999854,0.18978500366210938,0.0,0.011700392002971793,0.757,0.0001690000000000003,5.578921102500004,0.24558734893798828,0.0,0.0027003920029717854
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.1,0.9,X1,1,0.8566934698327798,0.06590812199999618,0.4893932342529297,0.0,0.8566934698327796,0.07236482999996952,0.6994409561157227,0.0,OK,0.8525,7.225000000000013e-05,1.3447813500000052,0.18996906280517578,0.0,0.004193469832779795,0.867,2.5000000000000045e-05,5.577069468499985,0.24750995635986328,0.0,0.010306530167220163
