threshold,threshold_distance,number_subnetworks,n_hidden,max_partition_size,max_partition_tensor_size,exact_time_sec,exact_peak_memory_mb,exact_success,mcmc_avg_time_sec,mcmc_peak_memory_mb,mcmc_avg_estimate,mcmc_success,pt_avg_time_sec,pt_peak_memory_mb,pt_avg_estimate,pt_success,exact_peak_rss_mb,exact_sdp_result,exact_time_sec_original,exact_peak_memory_mb_original,exact_peak_rss_mb_original,exact_success_original,exact_sdp_result_original,mcmc_error,pt_error
0.5,0.05222347124854221,6,10,3,8,0.009766471999910209,0.15313434600830078,True,1.156935255999997,0.17229843139648438,0.8032,True,4.926763443000027,0.23423099517822266,0.8220000000000001,True,0.015625,0.8147970892570758,0.01705958799993823,0.29102611541748047,0.0,True,0.8147970892570758,0.01159708925707581,0.007202910742924229
0.55,0.0022234712485421637,6,10,3,8,0.007251433999954315,0.15285110473632812,True,1.210372639599973,0.17276763916015625,0.4062,True,5.12437634719995,0.23804473876953125,0.41259999999999997,True,0.0,0.4124371307429996,0.01598748800006433,0.2914466857910156,0.0,True,0.4124371307429996,0.006237130742999586,0.00016286925700037536
0.6,0.04777652875145777,6,10,3,8,0.007272130000046673,0.15285205841064453,True,1.1782268410000598,0.17245864868164062,0.5871999999999999,True,5.031126868799992,0.23417186737060547,0.5934,True,0.0,0.5875628692570002,0.01638365100006922,0.29036808013916016,0.0,True,0.5875628692570002,0.0003628692570002423,0.005837130742999852
0.65,0.09777652875145781,6,10,3,8,0.00831949500002338,0.15379905700683594,True,1.1808445441999993,0.17258453369140625,0.8796000000000002,True,5.399496947999978,0.23940563201904297,0.8722,True,0.0,0.881589716342476,0.01663757500000429,0.29128360748291016,0.0,True,0.881589716342476,0.0019897163424758,0.009389716342475984
