Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Number_Subnetworks,Max_Partition_Size,Max_Tensor_Size,Threshold_Distance,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,Exact_SDP_Original,Exact_Time_sec_Original,Exact_Peak_Memory_MB_Python_Original,Exact_Peak_Memory_MB_RSS_Original,Exact_SDP_Original_Status,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.5,X4,1,15,4,16,0.0103538809782438,0.4734697434601368,0.0397693470586091,0.7996797561645508,0.0,0.473469743460137,0.1242304141633212,2.946107864379883,0.0,OK,0.4695,0.0002366499999999,1.0596104638651014,0.1723194122314453,0.0,0.0039697434601367,0.4738,0.0002971599999999,4.359976732474752,0.3017873764038086,0.0,0.0003302565398632
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.8,X4,1,17,3,8,0.0369624581157231,0.8162338343315287,0.0391985778696835,0.791630744934082,0.0,0.8162338343315286,0.129906359128654,3.410144805908203,0.0,OK,0.8202999999999999,0.0001540099999999,0.9518020026385784,0.1660642623901367,0.0,0.0040661656684711,0.817,5.039999999999967e-05,3.855537069356069,0.2745199203491211,0.0,0.0007661656684712
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.9,X4,1,15,4,16,0.3355429693376961,0.9495481802344472,0.038921853993088,0.7776002883911133,0.0,0.9495481802344472,0.1187611490022391,2.9339046478271484,0.0,OK,0.9511,2.4890000000000048e-05,1.0060470857424662,0.1700172424316406,0.0,0.0015518197655527,0.9549999999999998,5.62000000000001e-05,4.173990201274864,0.2840652465820312,0.0,0.0054518197655525
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,1.0,X4,1,18,5,32,0.3394409178176963,1.0,0.039434797829017,0.7762660980224609,0.0,1.0,0.136853032046929,3.601656913757324,0.0,OK,1.0,0.0,0.9720419405028224,0.1670646667480468,0.0,0.0,1.0,0.0,3.97613540138118,0.280487060546875,0.0,0.0
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.5,X4,1,15,12,4096,0.1585523220992893,0.4569554302913862,0.0310724331066012,0.9750194549560548,0.0,0.4569554303078244,0.3772925371304154,2.070779800415039,0.0,OK,0.4636999999999999,0.0001088099999999,1.0013906370149923,0.1787834167480468,0.0,0.0067445697086137,0.4584,0.0001318399999999,4.079317523143255,0.295379638671875,0.0,0.0014445697086137
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.8,X4,1,18,12,4096,0.0256488687599715,0.8435418449299341,0.0352692350279539,0.9981822967529296,0.0,0.8435418449299342,0.1461057739797979,2.4136829376220703,0.0,OK,0.8378,0.00015696,0.9782174717169256,0.1784019470214843,0.0,0.0057418449299341,0.8446,0.00020164,3.9966548439813776,0.2931299209594726,0.0,0.0010581550700659
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.9,X4,1,24,6,64,0.3398298112643102,0.9443912423614405,0.036560954991728,0.6306133270263672,0.0,0.9443912423614412,0.1780756770167499,3.046847343444824,0.0,OK,0.9440000000000002,5.679999999999959e-05,0.982113825250417,0.1771507263183593,0.0,0.0003912423614401,0.9465,2.3650000000000043e-05,3.958760051103309,0.2950515747070312,0.0,0.0021087576385596
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,1.0,X4,1,19,10,1024,0.4511735893466251,1.0,0.0358901929575949,0.6229915618896484,0.0,1.0,0.1440462588798254,2.623837471008301,0.0,OK,1.0,0.0,0.9740679021924734,0.1766471862792968,0.0,0.0,1.0,0.0,3.953127628006041,0.2966995239257812,0.0,0.0
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.5,X65,1,16,3,8,0.1649253223259607,0.5061958202483702,0.0421273759566247,0.8280620574951172,0.0,0.5061958202483701,0.134196185041219,3.1819982528686523,0.0,OK,0.5081,0.00018169,1.058314885222353,0.1706733703613281,0.0,0.0019041797516298,0.5016,0.00023484,4.3394458563067015,0.2948379516601562,0.0,0.0045958202483701
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.6,X65,1,16,2,4,0.157027071622519,0.5548845428528154,0.0402726570609957,0.7965679168701172,0.0,0.5548845428528154,0.1287021420430392,3.25201416015625,0.0,OK,0.5487,0.0003092099999999,1.0382661324925722,0.1690330505371093,0.0,0.0061845428528154,0.5517,0.0001636099999999,4.203934808797203,0.3153791427612304,0.0,0.0031845428528154
