Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.4,X44,1,0.43382970132489257,0.042428016662597656,0.77777099609375,0.4364,0.00015424000000000029,1.0154301881790162,0.16596412658691406,0.002570298675107441,0.4295999999999999,0.00022364000000000037,4.169375395774841,0.2818899154663086,0.004229701324892643
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.5,X44,1,0.5123284941013413,0.03500008583068848,0.7933349609375,0.5095,0.0004384500000000007,1.0036941766738892,0.16532421112060547,0.002828494101341339,0.516,0.00031740000000000056,4.0822117805480955,0.28473567962646484,0.0036715058986587223
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.6,X44,1,0.6168352259207102,0.0414433479309082,0.7557449340820312,0.6162,0.0002927600000000005,0.903153657913208,0.16125011444091797,0.0006352259207101918,0.6214000000000001,0.0003432400000000006,3.674256944656372,0.26340770721435547,0.004564774079289902
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.7,X44,1,0.695840649671367,0.04438519477844238,0.7881240844726562,0.6918,0.0001239599999999995,0.9403398752212524,0.16198253631591797,0.00404064967136708,0.6945999999999999,0.00010823999999999922,3.821818447113037,0.27052974700927734,0.0012406496713671666
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.8,X44,1,0.8094426361241986,0.04039359092712402,0.797882080078125,0.8088,0.00017815999999999926,0.9228328466415405,0.16269969940185547,0.0006426361241986811,0.8078,9.835999999999924e-05,3.7736008405685424,0.2728109359741211,0.001642636124198682
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.9,X44,1,0.856591140947241,0.04004859924316406,0.7813720703125,0.8571,5.1890000000000094e-05,0.914935827255249,0.16113567352294922,0.000508859052758992,0.8636000000000001,0.00015204000000000026,3.7432291507720947,0.26895809173583984,0.007008859052759164
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,1.0,X44,1,1.0,0.041640520095825195,0.8016128540039062,1.0,0.0,0.9745047569274903,0.16414165496826172,0.0,1.0,0.0,4.052521514892578,0.2827024459838867,0.0
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.4,X65,1,0.4463165441996152,0.04579043388366699,0.8248977661132812,0.4497999999999999,0.0006133599999999996,0.9894011497497559,0.1666126251220703,0.003483455800384727,0.45549999999999996,0.00022624999999999973,4.060917401313782,0.28050899505615234,0.009183455800384765
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.5,X65,1,0.5159957985469987,0.040045976638793945,0.7845535278320312,0.5132000000000001,0.0001131600000000002,0.9865592241287231,0.16514873504638672,0.002795798546998629,0.5169,0.00014829000000000028,4.074577832221985,0.27971553802490234,0.0009042014530012965
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.6,X65,1,0.5614947571890624,0.04273080825805664,0.7913131713867188,0.5647,0.0002234099999999991,0.9399813652038574,0.16157817840576172,0.003205242810937592,0.5651,8.388999999999937e-05,3.9174934148788454,0.27341365814208984,0.003605242810937659
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.7,X65,1,0.7272827335005764,0.05077075958251953,0.792755126953125,0.7261,0.00019029000000000035,0.9915532827377319,0.16641521453857422,0.001182733500576405,0.721,8.560000000000016e-05,4.025337505340576,0.29874229431152344,0.0062827335005763985
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.8,X65,1,0.8428878690857531,0.042769670486450195,0.7818527221679688,0.8478000000000001,0.00019696000000000036,1.023497724533081,0.16569805145263672,0.004912130914247026,0.8477,0.00017041000000000031,4.108687520027161,0.28404903411865234,0.004812130914246926
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.9,X65,1,0.8852112764403111,0.04012703895568848,0.7832260131835938,0.8869,9.329000000000017e-05,0.9342485427856445,0.16327953338623047,0.001688723559688965,0.8872,0.00018696000000000034,3.8195950508117678,0.26891231536865234,0.001988723559688932
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,1.0,X65,1,1.0,0.041898488998413086,0.7766799926757812,1.0,0.0,0.9755183935165406,0.16630077362060547,0.0,1.0,0.0,4.008712029457092,0.2776823043823242,0.0
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.4,X4,1,0.3509089303979716,0.038971662521362305,0.7682266235351562,0.34880000000000005,0.00013335999999999977,0.9462303876876831,0.1664752960205078,0.0021089303979715535,0.3433,0.00019140999999999977,3.9197401285171507,0.2792806625366211,0.007608930397971614
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.5,X4,1,0.4650931771759241,0.04314064979553223,0.7804336547851562,0.46630000000000005,0.00023400999999999977,0.9804858446121216,0.16643047332763672,0.0012068228240759704,0.4591,0.00020048999999999973,3.9988678693771362,0.2846517562866211,0.005993177175924069
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.8,X4,1,0.828130314071369,0.04307842254638672,0.79193115234375,0.8272999999999999,8.361000000000016e-05,0.8530810356140137,0.16037273406982422,0.0008303140713690205,0.8321,9.249000000000017e-05,3.48500235080719,0.26194286346435547,0.003969685928631006
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.9,X4,1,0.9495189992126007,0.0454559326171875,0.7582015991210938,0.9511999999999998,3.936000000000007e-05,0.9007184982299805,0.16169261932373047,0.0016810007873990784,0.9504999999999999,3.305000000000006e-05,3.689925479888916,0.2682781219482422,0.0009810007873991555
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,1.0,X4,1,0.9537873529662698,0.04105257987976074,0.75775146484375,0.9567,8.810000000000016e-06,0.9709993600845337,0.16242504119873047,0.0029126470337301757,0.9521,5.8900000000000105e-06,3.9632251024246217,0.2756032943725586,0.0016873529662698727
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.4,X76,1,0.39467814030299136,0.03756356239318848,0.8046035766601562,0.39380000000000004,0.0001637599999999997,0.9608258008956909,0.1649036407470703,0.000878140302991326,0.40020000000000006,9.675999999999996e-05,4.013224339485168,0.29205894470214844,0.005521859697008691
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.5,X76,1,0.5335644870037899,0.047338247299194336,0.797088623046875,0.5544,0.003026239999999998,0.9709640502929687,0.16636943817138672,0.020835512996210115,0.5378000000000001,0.0022673599999999986,4.096942257881165,0.28256893157958984,0.004235512996210167
