Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.6,X65,1,0.5671340278759713,0.06107950210571289,0.786381721496582,0.0,0.5649,0.0002682899999999989,0.9701574087142945,0.16903114318847656,0.0,0.0022340278759713783,0.5690000000000001,0.00021419999999999908,3.953187108039856,0.28206634521484375,0.0,0.0018659721240287253
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.8,X65,1,0.8046943751111497,0.04567599296569824,0.780308723449707,0.0,0.8045,0.00019904999999999923,0.9455737113952637,0.16647624969482422,0.0,0.00019437511114972494,0.8036999999999999,7.160999999999981e-05,3.85512170791626,0.28188514709472656,0.0,0.0009943751111498589
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.5,0.8,X65,1,0.7894542623339578,0.058335304260253906,9.423413276672363,8.1875,0.7874000000000001,0.0001100400000000002,1.0296349048614502,0.18034648895263672,0.0,0.0020542623339576682,0.7851,0.0001794900000000003,4.148511815071106,0.30132293701171875,0.0,0.004354262333957748
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.6,X76,1,0.6031260205571105,0.04180598258972168,0.7872743606567383,0.0,0.5988999999999999,0.0002686900000000005,0.9944536209106445,0.16959571838378906,0.0,0.004226020557110632,0.6112,0.0003773600000000007,4.117426133155822,0.29216766357421875,0.0,0.008073979442889456
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.8,X76,1,0.7853664512911338,0.04795122146606445,0.7448625564575195,0.0,0.7607999999999999,0.0010537600000000004,0.8314836263656616,0.16196727752685547,0.0,0.024566451291133884,0.7990999999999999,0.001242289999999999,3.524022603034973,0.263275146484375,0.0,0.013733548708866117
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.5,0.6,X76,1,0.5737534364784399,0.05017399787902832,0.6435747146606445,0.0,0.5882000000000001,0.00503596,0.966774845123291,0.17566967010498047,0.0,0.014446563521560152,0.594,0.0029437999999999986,3.914615106582642,0.29575347900390625,0.0,0.020246563521560068
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.5,0.8,X76,1,0.8313477598533229,0.05580925941467285,0.6854076385498047,0.0,0.8085000000000001,0.0011966499999999992,0.9996890544891357,0.17693710327148438,0.0,0.02284775985332277,0.8222999999999999,0.0013822099999999987,4.066216945648193,0.3188352584838867,0.0,0.009047759853322956
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.6,X44,1,0.5829821313699295,0.049843549728393555,0.7863368988037109,0.0,0.5892999999999999,0.00014381000000000026,1.042976713180542,0.17367172241210938,0.0,0.0063178686300704445,0.593,0.00033299999999999985,4.342309832572937,0.2976846694946289,0.0,0.010017868630070481
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.8,X44,1,0.754116189394106,0.05220365524291992,0.8009853363037109,0.0,0.7556999999999999,0.0002728100000000005,0.9574438571929932,0.16681289672851562,0.0,0.001583810605893965,0.7550999999999999,0.00031249000000000055,3.834439015388489,0.2758798599243164,0.0,0.00098381060589392
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.5,0.6,X44,1,0.6123919194524026,0.027409791946411133,0.6031627655029297,0.0,0.6100999999999999,0.0001682900000000003,0.9378001451492309,0.17741775512695312,0.0,0.002291919452402702,0.6192,0.00019156000000000037,3.842329573631287,0.28678226470947266,0.0,0.006808080547597406
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.5,0.8,X44,1,0.7925771237315182,0.050644636154174805,0.6100292205810547,0.0,0.7971,0.00015848999999999963,0.9606188297271728,0.17530441284179688,0.0,0.004522876268481801,0.7889000000000002,0.00024029000000000043,3.9117249727249144,0.2929391860961914,0.0,0.0036771237315180727
bn_n100_w2_spread_bias_high.bif,100,2,spread_bias_high,0.25,0.6,X2,1,0.602906931962047,0.05199837684631348,0.7914485931396484,0.0,0.5957000000000001,0.0002822099999999997,0.9389562606811523,0.16613388061523438,0.0,0.007206931962046914,0.6085,0.0001168500000000002,3.7400344133377077,0.29856395721435547,0.0,0.0055930680379530084
