Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Number_Subnetworks,Max_Partition_Size,Max_Tensor_Size,Threshold_Distance,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,Exact_SDP_Original,Exact_Time_sec_Original,Exact_Peak_Memory_MB_Python_Original,Exact_Peak_Memory_MB_RSS_Original,Exact_SDP_Original_Status,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.5,X4,1,15,4,16,0.010353880978243857,0.4734697434601368,0.03976934705860913,0.7996797561645508,0.0,0.473469743460137,0.12423041416332126,2.946107864379883,0.0,OK,0.46950000000000003,0.00023664999999999976,1.0596104638651014,0.1723194122314453,0.0,0.003969743460136788,0.47380000000000005,0.00029715999999999966,4.359976732474752,0.3017873764038086,0.0,0.00033025653986323844
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.8,X4,1,17,3,8,0.036962458115723185,0.8162338343315287,0.039198577869683504,0.791630744934082,0.0,0.8162338343315286,0.129906359128654,3.410144805908203,0.0,OK,0.8202999999999999,0.00015400999999999918,0.9518020026385784,0.16606426239013672,0.0,0.004066165668471178,0.817,5.0399999999999667e-05,3.855537069356069,0.2745199203491211,0.0,0.0007661656684712081
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.9,X4,1,15,4,16,0.3355429693376961,0.9495481802344473,0.03892185399308801,0.7776002883911133,0.0,0.9495481802344473,0.11876114900223911,2.9339046478271484,0.0,OK,0.9511000000000001,2.4890000000000048e-05,1.0060470857424662,0.17001724243164062,0.0,0.0015518197655527421,0.9549999999999998,5.62000000000001e-05,4.173990201274864,0.28406524658203125,0.0,0.005451819765552535
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,1.0,X4,1,18,5,32,0.33944091781769636,1.0,0.03943479782901704,0.7762660980224609,0.0,1.0,0.136853032046929,3.601656913757324,0.0,OK,1.0,0.0,0.9720419405028224,0.16706466674804688,0.0,0.0,1.0,0.0,3.9761354013811796,0.280487060546875,0.0,0.0
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.5,X4,1,15,12,4096,0.15855232209928938,0.4569554302913862,0.031072433106601238,0.9750194549560547,0.0,0.4569554303078244,0.37729253713041544,2.070779800415039,0.0,OK,0.46369999999999995,0.00010880999999999968,1.0013906370149925,0.17878341674804688,0.0,0.006744569708613757,0.4584,0.00013183999999999996,4.079317523143255,0.295379638671875,0.0,0.0014445697086137854
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.8,X4,1,18,12,4096,0.02564886875997152,0.8435418449299341,0.03526923502795398,0.9981822967529297,0.0,0.8435418449299342,0.14610577397979796,2.4136829376220703,0.0,OK,0.8378,0.00015696000000000029,0.9782174717169255,0.17840194702148438,0.0,0.005741844929934126,0.8446,0.00020164000000000038,3.9966548439813776,0.29312992095947266,0.0,0.0010581550700659026
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.9,X4,1,24,6,64,0.3398298112643102,0.9443912423614403,0.03656095499172807,0.6306133270263672,0.0,0.9443912423614411,0.17807567701674998,3.046847343444824,0.0,OK,0.9440000000000002,5.679999999999959e-05,0.982113825250417,0.17715072631835938,0.0,0.00039124236144016944,0.9465,2.3650000000000043e-05,3.958760051103309,0.29505157470703125,0.0,0.0021087576385596662
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,1.0,X4,1,19,10,1024,0.4511735893466251,1.0,0.03589019295759499,0.6229915618896484,0.0,1.0,0.14404625887982547,2.623837471008301,0.0,OK,1.0,0.0,0.9740679021924734,0.17664718627929688,0.0,0.0,1.0,0.0,3.9531276280060412,0.29669952392578125,0.0,0.0
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.5,X65,1,16,3,8,0.1649253223259607,0.5061958202483702,0.042127375956624746,0.8280620574951172,0.0,0.5061958202483701,0.134196185041219,3.1819982528686523,0.0,OK,0.5081,0.00018169000000000033,1.058314885222353,0.17067337036132812,0.0,0.0019041797516298198,0.5016,0.00023484000000000043,4.3394458563067015,0.29483795166015625,0.0,0.0045958202483701305
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.6,X65,1,16,2,4,0.15702707162251905,0.5548845428528154,0.0402726570609957,0.7965679168701172,0.0,0.5548845428528154,0.1287021420430392,3.25201416015625,0.0,OK,0.5487,0.00030920999999999905,1.0382661324925722,0.16903305053710938,0.0,0.0061845428528154445,0.5517,0.0001636099999999992,4.203934808797203,0.31537914276123047,0.0,0.003184542852815442
