Node,Entropy_Nats,Parent_Count
N0_7muVerMo,1.3862943611198906,0
SubjVertMo,1.237597168232557,0
QGVertMotion,1.237597168232557,0
CombVerMo,0.7607484216463232,3
AreaMeso_ALS,0.0,1
SatContMoist,1.3195454632493369,0
RaoContMoist,1.3195454632493369,0
CombMoisture,1.1040441667959178,2
AreaMoDryAir,0.7605638347200692,2
VISCloudCov,0.9433483923290392,0
IRCloudCover,1.0104127537805414,0
CombClouds,0.6213181480577983,2
CldShadeOth,0.5185062882589387,3
AMInstabMt,1.0986122886671097,0
InsInMt,0.4581501256109452,2
WndHodograph,1.3762266043445464,0
OutflowFrMt,0.6264423185441679,2
MorningBound,0.9985793315873921,0
Boundaries,0.7574749112588423,3
CldShadeConv,0.5946571022583371,2
CompPlFcst,0.9863922600021737,4
CapChange,0.0,1
LoLevMoistAd,1.333245696167181,0
InsChange,0.7748232802060344,2
MountainFcst,0.7637018715632413,1
Date,1.7086722403568377,0
Scenario,2.287434545198397,1
ScenRelAMCIN,0.0,1
MorningCIN,1.1289216551118813,0
AMCINInScen,0.7385206891677321,2
CapInScen,0.4268920658725463,2
ScenRelAMIns,0.0,1
LIfr12ZDENSd,1.1335504051933112,0
AMDewptCalPl,1.0670938948757507,0
AMInsWliScen,0.8771384267255211,3
InsSclInScen,0.5524860635126092,2
ScenRel3_4,0.0,1
LatestCIN,1.1673871969099059,0
LLIW,1.2953962420002827,0
CurPropConv,0.9446485055893035,2
ScnRelPlFcst,0.0,1
PlainsFcst,0.7937259137113057,4
N34StarFcst,0.2617427598904476,2
R5Fcst,0.0,2
Dewpoints,1.5154865681291831,1
LowLLapse,1.123464653930921,1
MeanRH,0.8416353959103426,1
MidLLapse,0.9213267554743186,1
MvmtFeatures,0.9599662510012049,1
RHRatio,0.8389184516636141,1
SfcWndShfDis,1.3928897873269879,1
SynForcng,1.3434683064642379,1
TempDis,1.0130263197249703,1
WindAloft,0.988291693149546,1
WindFieldMt,0.553712712026899,1
WindFieldPln,1.2430388235126248,1
