Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.4,X44,1,0.3563614719147951,0.04201865196228027,0.784881591796875,0.35740000000000005,0.00027763999999999995,0.9045314311981201,0.16378211975097656,0.0010385280852049372,0.35240000000000005,0.0004198399999999998,3.785494494438171,0.2761068344116211,0.003961471914795067
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.5,X44,1,0.45332551187274606,0.04233741760253906,0.7937088012695312,0.4534000000000001,0.00025344000000000007,0.9077731609344483,0.16149425506591797,7.448812725402432e-05,0.4513,0.00026821,3.7093711614608766,0.2807750701904297,0.0020255118727460775
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.6,X44,1,0.622876675975657,0.041507720947265625,0.7654876708984375,0.6144,0.0002260400000000004,1.0126702547073365,0.16556072235107422,0.008476675975657044,0.6191000000000001,0.00016009000000000026,4.170629835128784,0.29249095916748047,0.0037766759756568957
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.7,X44,1,0.7126380521440103,0.06287860870361328,0.7889862060546875,0.709,0.00012160000000000022,1.0036269426345825,0.16652202606201172,0.003638052144010362,0.7124,0.00018363999999999967,4.141592907905578,0.28982067108154297,0.0002380521440102923
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.8,X44,1,0.7667418150643706,0.0644369125366211,0.7817840576171875,0.7602,0.00010456000000000018,0.8969393491744995,0.16019725799560547,0.006541815064370571,0.7735,0.0001622500000000003,3.6114123106002807,0.26143932342529297,0.006758184935629408
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,0.9,X44,1,0.8548534890124829,0.06453132629394531,0.7885589599609375,0.8579000000000001,8.989000000000016e-05,0.9586777925491333,0.16207408905029297,0.0030465109875171814,0.8525,0.00010725000000000021,3.832857131958008,0.2733926773071289,0.00235348901248289
bn_n100_w2_rigid_moderate.bif,100,2,rigid_moderate,0.25,1.0,X44,1,1.0,0.06607747077941895,0.8005523681640625,1.0,0.0,0.9518788576126098,0.16260814666748047,0.0,1.0,0.0,3.9340420961380005,0.27814769744873047,0.0
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.4,X76,1,0.36904454529087577,0.0642082691192627,0.811553955078125,0.3330000000000001,0.005412,0.9396714687347412,0.16150856018066406,0.036044545290875696,0.35869999999999996,0.0012770099999999999,3.832977271080017,0.2961101531982422,0.010344545290875806
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.5,X76,1,0.45856120561543146,0.06672286987304688,0.7571563720703125,0.4655,0.0003648499999999998,0.9009205579757691,0.16299724578857422,0.0069387943845685696,0.46950000000000003,0.00048364999999999986,3.725235390663147,0.26369762420654297,0.010938794384568573
bn_n100_w2_rigid_extreme.bif,100,2,rigid_extreme,0.25,0.6,X76,1,0.5528182186646892,0.06669402122497559,0.7614059448242188,0.5426,0.00018383999999999957,0.9686136722564698,0.16455364227294922,0.010218218664689194,0.5615,0.0003166499999999989,3.990212082862854,0.2830686569213867,0.008681781335310834
