Network,N_Nodes,Target_Bucket,H_Ratio,N_Hidden,Target_Node,Target_Value,Status,Wall_Hits,Attempts_OK,SDP_Failures,Exact_SDP,Exact_Time_sec,Exact_Mem_MB_Python,Exact_Mem_MB_RSS,Max_Partition_Size,Max_Tensor_Size,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Mem_MB_Python,MCMC_Mem_MB_RSS,Absolute_Error
win95pts,76,0.4,0.25,18,PrtMem,Less_than_2Mb,BUCKET_NOT_FOUND,0,34,0,,,,,,,,,,,,
win95pts,76,0.5,0.25,18,PrtMem,Less_than_2Mb,BUCKET_NOT_FOUND,0,34,0,,,,,,,,,,,,
win95pts,76,0.7,0.25,18,PrtMem,Less_than_2Mb,OK,0,34,0,0.7154237310612764,0.0471498966217041,0.7058067321777344,0.015625,3.0,8.0,0.6161000000000001,0.0010787344444444433,4.21750283241272,0.4461250305175781,0.0,0.09932373106127634
win95pts,76,0.8,0.25,18,PrtMem,Less_than_2Mb,BUCKET_NOT_FOUND,0,34,0,,,,,,,,,,,,
win95pts,76,0.9,0.25,18,PrtMem,Less_than_2Mb,OK,0,34,0,0.8817426858460222,0.04017376899719238,0.6864891052246094,0.0,4.0,16.0,0.8834333333333333,2.4823333333333303e-05,3.8432066202163697,0.4034690856933594,0.0,0.00169064748731107
win95pts,76,1.0,0.25,18,PrtMem,Less_than_2Mb,OK,0,34,0,1.0,0.041153907775878906,0.7197494506835938,0.0,2.0,4.0,1.0,0.0,3.5673129320144654,0.3819732666015625,0.0,0.0
