Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Number_Subnetworks,Max_Partition_Size,Max_Tensor_Size,Threshold_Distance,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,Exact_SDP_Original,Exact_Time_sec_Original,Exact_Peak_Memory_MB_Python_Original,Exact_Peak_Memory_MB_RSS_Original,Exact_SDP_Original_Status,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,0.4,X17,1,26,4,16,0.07271620494825481,0.3683237332094996,0.10624307207763195,1.6212406158447266,0.0,0.36832373320949985,0.5445628720335662,9.156509399414062,0.0,OK,0.3687,0.0006234099999999997,1.1656936519080774,0.30879688262939453,0.0,0.00037626679050040135,0.3741,0.00032649000000000014,4.663870803592727,0.46607208251953125,0.0,0.005776266790500362
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,0.5,X17,1,24,13,8192,0.029298239795366277,0.5197123287023517,0.10838552704080939,2.1658830642700195,0.0,0.519712328702352,0.5030571098905057,8.399605751037598,0.0,OK,0.5227999999999999,0.00035116000000000064,1.2035102743888273,0.3081064224243164,0.0,0.003087671297648198,0.5208,0.00010716000000000017,4.817371521540918,0.471435546875,0.0,0.0010876712976483072
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,0.6,X17,1,29,7,128,0.03674768529342465,0.5678423469110485,0.1078344751149416,1.6291627883911133,0.0,0.5678423469110485,0.629519138019532,10.968384742736816,0.0,OK,0.5635,0.0002532499999999991,1.1012489456916228,0.30468177795410156,0.0,0.004342346911048511,0.5665000000000001,0.0003010499999999988,4.324348319834098,0.45021915435791016,0.0,0.0013423469110483977
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,0.7,X17,1,23,14,16384,0.316427129830786,0.710234565903696,0.10897238412871957,3.308866500854492,0.0,0.7102345659036958,0.48840957414358854,8.012807846069336,0.0,OK,0.7176,0.00024384000000000043,1.2082628522068262,0.3090839385986328,0.0,0.007365434096303969,0.7132999999999999,0.00018001000000000033,4.804334037518129,0.46271610260009766,0.0,0.0030654340963038873
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,0.8,X17,1,19,18,262144,0.3424753685519718,0.8076513698134298,0.7243427450302988,37.065603256225586,83.1875,0.8076521175662176,1766.1218836789485,7.705715179443359,0.0,OK,0.8070999999999999,0.00015708999999999938,1.1519009007140995,0.3070240020751953,0.0,0.0005513698134298473,0.8010999999999999,0.00012668999999999978,4.568922851793468,0.47226810455322266,0.0,0.006551369813429853
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,0.9,X17,1,27,8,256,0.44447986562144537,0.9453625510811117,0.08953352109529078,1.5709590911865234,0.0,0.9453625510811113,0.3923068579751998,9.152600288391113,0.0,OK,0.9494999999999999,4.0450000000000075e-05,1.1489629987161607,0.30823707580566406,0.0,0.004137448918888231,0.9480999999999999,4.8289999999999756e-05,4.583899913914502,0.46584415435791016,0.0,0.0027374489188882745
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.25,1.0,X17,1,31,6,64,0.4866197956411914,1.0,0.08303679805248976,1.5519161224365234,0.0,1.0,0.4346571029163897,10.797110557556152,0.0,OK,1.0,0.0,1.0955251093488187,0.31130409240722656,0.0,0.0,1.0,0.0,4.446864856430329,0.4631967544555664,0.0,0.0
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,0.4,X17,1,26,18,262144,0.02518806470543289,0.42156789226518593,63.238354803062975,37.662092208862305,61.5625,,1800.0,,,TIMEOUT,0.3990000000000001,0.0011133999999999996,1.1181733302306385,0.32973670959472656,0.0,0.02256789226518585,0.4197,0.0008752100000000002,4.444217635155655,0.4874582290649414,0.0,0.001867892265185911
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,0.5,X17,1,32,17,131072,0.11570212937544677,0.5328017824426293,0.6638367811683565,18.81660270690918,24.75,0.5328020100816002,1031.2090869310778,7.0953779220581055,0.0,OK,0.532,0.0001678000000000003,1.1004979723831638,0.32622718811035156,0.0,0.0008017824426292952,0.5325,0.0005628499999999992,4.3316265816800295,0.4842538833618164,0.0,0.0003017824426293503
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,0.6,X17,1,24,22,4194304,0.09071384528874915,0.5895509790513391,0.3109047200996429,578.3269290924072,1649.625,0.5895509790513387,0.42299811402335763,5.180301666259766,0.0,OK,0.5874,0.0012822399999999996,1.1092667435063048,0.32605934143066406,0.0,0.002150979051339097,0.5906,0.0012234400000000003,4.463143754960038,0.5023784637451172,0.0,0.0010490209486608837
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,0.7,X17,1,23,22,4194304,0.24229113921449374,0.7400894039079573,0.295631161890924,588.9321002960205,1687.75,0.7400894039079576,0.4102992909029126,5.0291900634765625,0.0,OK,0.7369,0.0002690900000000005,1.1198286298196762,0.3292102813720703,0.0,0.0031894039079573,0.7432000000000001,0.0002693600000000005,4.440846960549242,0.4853219985961914,0.0,0.0031105960920427833
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,0.8,X17,1,22,19,524288,0.3102496180210862,0.7763106537786936,14.03817953192629,72.81303215026855,189.6875,,1800.0,,,TIMEOUT,0.7824000000000001,0.0006512399999999997,1.1178956056479366,0.32581520080566406,0.0,0.006089346221306524,0.7734000000000001,0.00146204,4.457615586277098,0.5122966766357422,0.0,0.002910653778693484
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,0.9,X17,1,27,18,262144,0.2740315116791734,0.8501897466292898,0.29718759609386325,48.823835372924805,123.6875,0.8501899544188656,478.62236667005345,6.0686750411987305,0.0,OK,0.8468,0.00039315999999999977,1.0978074664482846,0.32679176330566406,0.0,0.0033897466292898137,0.8543,0.0009452100000000007,4.406150442361832,0.48737430572509766,0.0,0.004110253370710137
bn_n200_w6_rigid_moderate.bif,200,6,rigid_moderate,0.5,1.0,X17,1,34,11,2048,0.4997724746390161,0.9999999999999999,0.08286916092038155,1.155660629272461,0.0,0.9999999999999999,0.5318738971836865,7.070878982543945,0.0,OK,1.0,0.0,1.1070621344493703,0.32782936096191406,0.0,1.1102230246251565e-16,1.0,0.0,4.356160855595954,0.48206424713134766,0.0,1.1102230246251565e-16
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,0.4,X152,1,25,5,32,0.12364449072264183,0.4143598436572842,0.09385872492566705,1.6845808029174805,0.0,0.4143598436572842,0.40311042591929436,9.816606521606445,0.0,OK,0.4215,0.00022304999999999995,1.105220485292375,0.3071155548095703,0.0,0.007140156342715809,0.4218,0.0001159600000000002,4.439783602277748,0.4576730728149414,0.0,0.007440156342715831
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,0.5,X152,1,30,7,128,0.18436374659290122,0.4570983905564337,0.09113034908659756,1.588796615600586,0.0,0.45709839055643325,0.44331443798728287,10.985300064086914,0.0,OK,0.45409999999999995,0.00014749000000000007,1.0978854411048815,0.30835914611816406,0.0,0.00299839055643375,0.45359999999999995,0.00031183999999999997,4.455401870352216,0.46001529693603516,0.0,0.0034983905564337503
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,0.6,X152,1,24,9,512,0.1274695867728296,0.6357512377275611,0.09763971390202641,1.722681999206543,0.0,0.635751238203425,0.7566971930209547,8.82128620147705,0.0,OK,0.6366,0.00020524000000000033,1.2428090459667147,0.31133460998535156,0.0,0.0008487622724389077,0.6339,0.0003544900000000006,4.955119720706716,0.4862375259399414,0.0,0.001851237727561128
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,0.7,X152,1,26,8,256,0.17407837950353522,0.7310660444353123,0.095212047919631,1.659475326538086,0.0,0.7310660444353126,0.4213826861232519,9.861939430236816,0.0,OK,0.735,0.00010220000000000018,1.1581265072105453,0.33087730407714844,0.0,0.0039339555646876745,0.7312,0.0005363600000000009,4.597741054347717,0.46903324127197266,0.0,0.0001339555646876489
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,0.8,X152,1,35,4,16,0.1419459726477731,0.7633535012356261,0.09329313808120787,1.6197338104248047,0.0,0.7633535012356262,0.5891782690305263,13.081043243408203,0.0,OK,0.7639,0.00027529000000000046,1.0667268283199518,0.3065204620361328,0.0,0.0005464987643739594,0.769,0.0002632000000000005,4.232779228570871,0.4515848159790039,0.0,0.005646498764373953
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,0.9,X152,1,25,9,512,0.22371441213711185,0.8731218568923483,0.09590533701702952,1.6972455978393555,0.0,0.8731218568923486,0.5929027730599046,9.60250186920166,0.0,OK,0.874,8.840000000000017e-05,1.1741115611279382,0.31232643127441406,0.0,0.0008781431076516633,0.8774000000000001,0.00017444000000000032,4.69791314851027,0.47593021392822266,0.0,0.004278143107651733
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.25,1.0,X152,1,22,9,512,0.49268890748967276,1.0,0.0930070981848985,1.5853023529052734,0.0,1.0,0.36323321191594005,7.982283592224121,0.0,OK,1.0,0.0,1.1749725100351498,0.3069171905517578,0.0,0.0,1.0,0.0,4.637546573486179,0.4646005630493164,0.0,0.0
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.5,0.5,X152,1,30,18,262144,0.0709106324380373,0.453081336585341,0.16059367801062763,36.88544273376465,4.0625,0.4530816944124392,120.55179141601548,6.584943771362305,0.0,OK,0.46040000000000003,0.00120864,1.1301425806246699,0.33063697814941406,0.0,0.007318663414659032,0.45709999999999995,0.0023558900000000007,4.472334178094752,0.4881296157836914,0.0,0.004018663414658952
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.5,0.6,X152,1,30,20,1048576,0.1955107130855792,0.6395416413782135,0.2702789311297238,147.89233207702637,293.5,0.6395422528653122,799.9768882358912,6.581794738769531,0.0,OK,0.6472,0.0008261600000000005,1.1550193283474073,0.32894325256347656,0.0,0.007658358621786543,0.6296999999999999,0.0003438100000000006,4.477546471753158,0.5122127532958984,0.0,0.009841641378213528
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.5,0.7,X152,1,17,18,262144,0.029625393781221643,0.6503994239130099,0.158887644065544,46.66879844665527,49.4375,0.6504001122134085,110.31939324713312,4.041626930236816,0.0,OK,0.6347,0.0012080100000000007,1.1445264778565616,0.33201026916503906,0.0,0.015699423913009825,0.6476999999999999,0.0009338100000000017,4.615129765914753,0.4968271255493164,0.0,0.002699423913009924
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.5,0.8,X152,1,30,23,8388608,0.20716444185943472,0.7525706312199076,1.1246259729377925,1152.8623676300049,3200.75,,1800.0,,,TIMEOUT,0.7423,0.0004924100000000009,1.1084030553000048,0.33059120178222656,0.0,0.010270631219907678,0.7584,0.0003050400000000005,4.433242724882438,0.4945535659790039,0.0,0.0058293687800923255
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.5,0.9,X152,1,29,12,4096,0.18385698623819735,0.900753943774128,0.08385437191464007,1.6092329025268555,0.0,0.9007539437762904,0.9264686740934849,6.404414176940918,0.0,OK,0.8985999999999998,0.00022164000000000038,1.1154242978896947,0.32970714569091797,0.0,0.002153943774128142,0.9056000000000001,7.944000000000015e-05,4.441584713407792,0.4873828887939453,0.0,0.004846056225872086
bn_n200_w6_spread_bias_high.bif,200,6,spread_bias_high,0.5,1.0,X152,1,30,13,8192,0.408668825572146,0.964205065406704,0.526388136902824,2.1849279403686523,0.0,0.964205069866277,458.08760346495546,6.783639907836914,0.0,OK,0.9655000000000001,6.545000000000011e-05,1.0833421273855492,0.3278379440307617,0.0,0.0012949345932961043,0.9607999999999999,6.636000000000013e-05,4.382605702895671,0.4839191436767578,0.0,0.0034050654067041553
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,0.4,X79,1,25,8,256,0.014292003350408256,0.4440873586850086,0.09402143396437168,1.7019233703613281,0.0,0.4440873586850089,0.7752037688624114,9.84254264831543,0.0,OK,0.44489999999999996,0.00030129000000000023,1.1337316003860907,0.3096036911010742,0.0,0.0008126413149913692,0.45220000000000005,0.00029236,4.471817709994502,0.45413875579833984,0.0,0.008112641314991453
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,0.5,X79,1,33,4,16,0.036244797274470275,0.5176540135080872,0.09320054110139608,1.6288518905639648,0.0,0.5176540135080872,0.5928836900275201,11.869173049926758,0.0,OK,0.5064,0.00025624000000000046,1.1460190472658724,0.3074522018432617,0.0,0.01125401350808719,0.5186,0.0002804400000000005,4.535102703981101,0.47481822967529297,0.0,0.000945986491912798
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,0.6,X79,1,30,7,128,0.050739075885914975,0.5855704836224274,0.09306154190562665,1.6271047592163086,0.0,0.5855704836224278,0.6516122589819133,11.780009269714355,0.0,OK,0.5904,0.00019544000000000036,1.0921753564151004,0.3056211471557617,0.0,0.0048295163775726735,0.5833999999999999,0.00019724000000000035,4.354557114094495,0.4574880599975586,0.0,0.0021704836224274437
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,0.7,X79,1,27,8,256,0.08381049430810084,0.7137600984069352,0.09478076198138297,1.6252431869506836,0.0,0.7137600984069357,0.5062114400789142,10.4301118850708,0.0,OK,0.7101999999999999,7.676000000000013e-05,1.142573427967727,0.3045072555541992,0.0,0.003560098406935275,0.7126,0.00046123999999999937,4.512516869860701,0.46480751037597656,0.0,0.001160098406935206
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,0.8,X79,1,30,4,16,0.09407259981992477,0.8229817738594604,0.09074323298409581,1.5995397567749023,0.0,0.8229817738594609,0.44775856705382466,11.083399772644043,0.0,OK,0.8131999999999999,0.0001201599999999993,1.091853814269416,0.3063840866088867,0.0,0.009781773859460441,0.8224,0.00018183999999999936,4.371631018607877,0.4512195587158203,0.0,0.0005817738594603439
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,0.9,X79,1,32,5,32,0.38050351647479375,0.9173247166499197,0.09071274101734161,1.603255271911621,0.0,0.9173247166499191,0.45068872906267643,11.631550788879395,0.0,OK,0.9152000000000001,0.0002163599999999997,1.1092924878001214,0.3052396774291992,0.0,0.0021247166499195336,0.9149,5.629000000000009e-05,4.3972090217517685,0.4537525177001953,0.0,0.0024247166499196116
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.25,1.0,X79,1,23,8,256,0.38281910532901753,0.9592869401909477,0.09278496797196567,1.6901741027832031,0.0,0.9592869401909483,0.4591403959784657,8.946331977844238,0.0,OK,0.9578000000000001,3.0960000000000056e-05,1.1706528338138014,0.31255626678466797,0.0,0.0014869401909476387,0.958,3.360000000000006e-05,4.635994027019478,0.4605121612548828,0.0,0.0012869401909477718
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.5,0.5,X79,1,40,13,8192,0.03283128044840944,0.5292092723096671,0.08670508000068367,1.9711370468139648,0.0,0.5292092723096675,0.7462213688995689,8.847443580627441,0.0,OK,0.5362,0.0002425599999999998,1.0895901591982693,0.3269376754760742,0.0,0.006990727690332932,0.5229999999999999,0.0002118000000000004,4.263396539026871,0.49970149993896484,0.0,0.006209272309667169
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.5,0.6,X79,1,29,16,65536,0.06436646864347029,0.6238049207804064,0.10081414296291769,9.861777305603027,0.0,0.623804928575253,10.791487335925922,6.23952579498291,0.0,OK,0.6236,0.0006134400000000011,1.1316697857808322,0.32863903045654297,0.0,0.00020492078040634798,0.6245,9.145000000000016e-05,4.417986599891447,0.4770832061767578,0.0,0.0006950792195936639
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.5,0.7,X79,1,34,18,262144,0.15078250531372595,0.6761643452362557,0.10890626790933311,36.75582790374756,4.0625,0.6761643587069267,7.958258796017617,7.794315338134766,0.0,OK,0.6789000000000002,0.0001230899999999998,1.1053923107217998,0.3258543014526367,0.0,0.0027356547637444883,0.6725,0.00015264999999999975,4.332653806707822,0.4810657501220703,0.0,0.003664345236255695
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.5,0.9,X79,1,23,22,4194304,0.27038018583177015,0.8742312844893424,0.5021410970948637,963.8350858688354,3082.25,0.8742312844893421,0.39767096214927733,5.134713172912598,0.0,OK,0.8737,9.841000000000016e-05,1.1541926579084247,0.3285551071166992,0.0,0.0005312844893423652,0.8841000000000001,9.409000000000016e-05,4.497800561808981,0.4763355255126953,0.0,0.00986871551065771
bn_n200_w6_spread_bias_low.bif,200,6,spread_bias_low,0.5,1.0,X79,1,29,22,4194304,0.44933137033190984,0.9671810605198811,0.8293420178815722,576.94935131073,1560.4375,,1800.0,,,TIMEOUT,0.9630000000000001,5.36000000000001e-05,1.113951369188726,0.32395458221435547,0.0,0.004181060519880986,0.9654,3.484000000000005e-05,4.328729333006777,0.4729480743408203,0.0,0.001781060519881028
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,0.4,X101,1,22,8,256,0.07618689767622555,0.3926734982339196,0.08977847616188228,1.600783348083496,0.0,0.3926734982339198,0.3572816769592464,7.970412254333496,0.0,OK,0.3983,0.00020160999999999964,1.1040038969833403,0.3084592819213867,0.0,0.005626501766080372,0.3933,0.00018381000000000002,4.529898396623321,0.46706581115722656,0.0,0.0006265017660803673
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,0.5,X101,1,30,6,64,0.018895492282356874,0.46107331101549737,0.09561727801337838,1.6696739196777344,0.0,0.46107331101549737,0.4930813559331,11.026622772216797,0.0,OK,0.4568,4.076000000000007e-05,1.0290367676876486,0.30565929412841797,0.0,0.004273311015497383,0.45599999999999996,0.00024579999999999996,4.189624415943399,0.4542407989501953,0.0,0.005073311015497406
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,0.6,X101,1,24,9,512,0.10428304109374309,0.5712700215241926,0.09268811694346368,1.5685949325561523,0.0,0.5712700215241929,0.38066163193434477,8.63464069366455,0.0,OK,0.5658,0.00034155999999999895,1.0974022317212075,0.31127452850341797,0.0,0.005470021524192625,0.5749000000000001,0.00014609000000000025,4.465975133283064,0.4681386947631836,0.0,0.0036299784758074827
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,0.7,X101,1,29,10,1024,0.09748794905279701,0.7244319581035191,0.0958142199087888,1.7108802795410156,0.0,0.7244319581035192,1.2326096699107438,10.373888969421387,0.0,OK,0.721,8.380000000000015e-05,1.106915634474717,0.31280040740966797,0.0,0.0034319581035191504,0.7247,0.0002468100000000004,4.526252941414714,0.4630451202392578,0.0,0.00026804189648088617
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,0.8,X101,1,23,10,1024,0.17184614745946813,0.8493780302774192,0.09763644100166857,1.7136344909667969,0.0,0.849378030277419,1.1845960370264947,8.644131660461426,0.0,OK,0.8560000000000001,9.560000000000018e-05,1.0894086229382083,0.3087491989135742,0.0,0.006621969722580889,0.8507,5.6810000000000095e-05,4.406901205587201,0.46491432189941406,0.0,0.001321969722580807
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,0.9,X101,1,29,6,64,0.1366101640148042,0.8666420339086729,0.09299397096037865,1.5891180038452148,0.0,0.8666420339086719,0.43812920502386987,10.241881370544434,0.0,OK,0.8663000000000001,6.621000000000011e-05,1.101399142900482,0.30842113494873047,0.0,0.000342033908672823,0.8611000000000001,6.869000000000013e-05,4.493187777278945,0.4692525863647461,0.0,0.005542033908672805
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.25,1.0,X101,1,20,13,8192,0.16934369683473216,1.0,0.08320216694846749,1.6760168075561523,0.0,1.0,0.3295098450034857,7.336414337158203,0.0,OK,1.0,0.0,1.11150081618689,0.3069181442260742,0.0,0.0,1.0,0.0,4.578106881887652,0.4696369171142578,0.0,0.0
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.5,0.4,X101,1,32,10,1024,0.007766671046954388,0.436536188530215,0.08871989510953426,1.291457176208496,0.0,0.43653618853021503,4.106943023158237,6.95745849609375,0.0,OK,0.43899999999999995,0.0003991999999999999,1.054958515567705,0.3309507369995117,0.0,0.002463811469784971,0.43600000000000005,0.0005028000000000001,4.317640546010807,0.48031044006347656,0.0,0.0005361885302149205
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.5,0.6,X101,1,26,17,131072,0.11270515703079031,0.5914902589167007,0.10362882004119456,20.537467002868652,0.0,0.5914902589167009,7.8640688268933445,5.901102066040039,0.0,OK,0.5988999999999999,0.0002796900000000005,1.0941967799561099,0.32981395721435547,0.0,0.007409741083299171,0.5843999999999999,0.0003546399999999999,4.448798169172369,0.4916706085205078,0.0,0.007090258916700787
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.5,0.7,X101,1,23,24,16777216,0.014325848176918288,0.7202693925061305,0.8719342760741711,2307.829005241394,6551.25,0.7202693925061309,0.4302311600185931,4.965890884399414,0.0,OK,0.7295,0.0002480500000000004,1.0980636129854247,0.3276700973510742,0.0,0.009230607493869503,0.7162999999999998,9.021000000000015e-05,4.47325876490213,0.4956531524658203,0.0,0.003969392506130709
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.5,0.9,X101,1,29,16,65536,0.2233955748827,0.9466912223342984,0.09260601503774524,10.65647029876709,0.0,0.9466912223342987,0.9171936819329858,6.369370460510254,0.0,OK,0.9411000000000002,5.548999999999944e-05,1.073093337379396,0.3300352096557617,0.0,0.005591222334298207,0.9427999999999999,8.155999999999943e-05,4.403981305076741,0.4836597442626953,0.0,0.0038912223342985053
bn_n200_w6_uncertain_moderate.bif,200,6,uncertain_moderate,0.5,1.0,X101,1,24,18,262144,0.19540183872243988,1.0,0.08221046486869454,36.918715476989746,4.0625,1.0,0.4160277380142361,5.239711761474609,0.0,OK,1.0,0.0,1.0959107137750834,0.3282499313354492,0.0,0.0,1.0,0.0,4.48020920578856,0.4858417510986328,0.0,0.0
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.25,0.5,X126,1,31,6,64,0.04964682715363722,0.46135570737278636,0.0898313201032579,1.5645208358764648,0.0,0.4613557073727862,0.4574461050797254,10.80406379699707,0.0,OK,0.4579,0.00015468999999999975,1.113338531763293,0.3119840621948242,0.0,0.0034557073727863874,0.4625,0.0002750499999999998,4.533444507676177,0.46929359436035156,0.0,0.001144292627213661
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.25,0.6,X126,1,31,7,128,0.020014062977489533,0.6354623849567752,0.09142367891035974,1.6064519882202148,0.0,0.6354623849567756,0.45545416604727507,10.93487548828125,0.0,OK,0.6354,0.00036224000000000065,1.112525250716135,0.3064603805541992,0.0,6.238495677524103e-05,0.6363,0.00032901000000000057,4.490513935824856,0.46108150482177734,0.0,0.0008376150432247709
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.25,0.7,X126,1,29,5,32,0.03059776159672034,0.679506782190632,0.09243078716099262,1.6150732040405273,0.0,0.6795067821906318,0.46156343212351203,10.215106010437012,0.0,OK,0.6813,8.160999999999963e-05,1.1660314510809258,0.31156444549560547,0.0,0.0017932178093680307,0.6799000000000001,0.00011708999999999949,4.845093608764,0.4713001251220703,0.0,0.0003932178093680738
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.25,0.8,X126,1,28,8,256,0.06601869584524545,0.8375901493643312,0.0910921641625464,1.577986717224121,0.0,0.8375901493643307,0.4085837290622294,9.84405517578125,0.0,OK,0.8362,5.89600000000001e-05,1.1014145726105198,0.31023693084716797,0.0,0.001390149364331128,0.827,0.00017019999999999994,4.482593961223029,0.48337841033935547,0.0,0.010590149364331225
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.25,0.9,X126,1,30,7,128,0.10317659800844081,0.8898738718473654,0.09071221202611923,1.577864646911621,0.0,0.8898738718473651,0.43075932189822197,10.400200843811035,0.0,OK,0.8971,4.9290000000000085e-05,1.1093603805871681,0.3093900680541992,0.0,0.00722612815263457,0.8863,7.001000000000012e-05,4.523045261390507,0.45945167541503906,0.0,0.003573871847365462
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.25,1.0,X126,1,31,4,16,0.09206368290767808,1.0,0.09186974400654435,1.575758934020996,0.0,1.0,0.4442389979958534,10.933420181274414,0.0,OK,1.0,0.0,1.0678438034141435,0.3061246871948242,0.0,0.0,1.0,0.0,4.426009098836221,0.4576587677001953,0.0,0.0
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.5,0.6,X126,1,28,21,2097152,0.005098294598239961,0.6412938079211903,0.2245406329166144,294.84967708587646,728.375,0.6412938079211905,27.68138834182173,5.667126655578613,0.0,OK,0.6448,0.00027596000000000055,1.1142905993619934,0.3272733688354492,0.0,0.0035061920788097556,0.6418999999999999,0.00010669000000000017,4.410349213285372,0.4928302764892578,0.0,0.0006061920788096309
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.5,0.8,X126,1,29,18,262144,0.010892482023657002,0.7817020291376091,0.10525770019739866,43.214476585388184,8.1875,0.7817020291376087,2.226187322055921,6.342238426208496,0.0,OK,0.7904000000000001,0.00013604000000000028,1.1196206572232767,0.32804393768310547,0.0,0.008697970862390991,0.7802,8.196000000000014e-05,4.432792055676691,0.48493385314941406,0.0,0.0015020291376091066
bn_n200_w6_uncertain_strong.bif,200,6,uncertain_strong,0.5,1.0,X126,1,30,14,16384,0.08229321878761164,1.0,0.08473390806466341,4.657034873962402,0.0,1.0,0.44391431100666523,6.441244125366211,0.0,OK,1.0,0.0,1.0931306908838452,0.32610607147216797,0.0,0.0,1.0,0.0,4.370695661357604,0.48162269592285156,0.0,0.0
