Network,N_Nodes,Target_Bucket,H_Ratio,N_Hidden,Target_Node,Target_Value,Status,Wall_Hits,Attempts_OK,SDP_Failures,Exact_SDP,Exact_Time_sec,Exact_Mem_MB_Python,Exact_Mem_MB_RSS,Max_Partition_Size,Max_Tensor_Size,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Mem_MB_Python,MCMC_Mem_MB_RSS,Absolute_Error
alarm,37,0.4,0.1,3,HYPOVOLEMIA,FALSE,OK,0,689,0,0.3809141940657578,0.008822917938232422,0.16095542907714844,0.01953125,1.0,3.0,0.3842,0.00017542666666666665,3.5526535272598267,0.3245086669921875,0.0,0.0032858059342421586
alarm,37,0.5,0.1,3,HYPOVOLEMIA,FALSE,BUCKET_NOT_FOUND,0,689,0,,,,,,,,,,,,
alarm,37,0.7,0.1,3,HYPOVOLEMIA,FALSE,OK,0,689,0,0.7173539800328739,0.00994253158569336,0.16479873657226562,0.0,2.0,6.0,0.7195666666666666,2.426777777777775e-05,5.495476388931275,0.385711669921875,0.0,0.0022126866337927042
